rank,uid,username,type,accompany,medal_name,medal_level
1,5729200,畏光゛,舰长,1500,供血包,51
2,3493294526958393,萝宝宝の月月,舰长,1023,供血包,46
3,11965818,转生成为超好用电击棒,舰长,903,供血包,43
4,9189063,缺德金毛,舰长,208,供血包,41
5,519274401,CL_LuckyE,舰长,921,供血包,40
6,34157994,爱学习的萌新白面包,舰长,1059,供血包,39
7,79963241,cube_miku,舰长,387,供血包,39
8,367346953,洛天启I黑星,舰长,1542,供血包,39
9,424384495,傲罗の假期,舰长,960,供血包,37
10,36132907,猫鳄霸,舰长,986,供血包,37
11,60461156,-我-永远喜欢爱莉希雅,舰长,616,供血包,36
12,484156,欧卡尼亚,舰长,1517,供血包,36
13,573508245,鸢桦aky,舰长,701,供血包,36
14,437490940,养马糕手-,舰长,986,供血包,35
15,189598054,i珂i,舰长,1015,供血包,35
16,1512279910,我是路痴qwq,舰长,138,供血包,35
17,368890986,青柠绝配鱼香肉丝,舰长,121,供血包,35
18,264489711,北极星夜,舰长,868,供血包,35
19,509846987,枫浅沐熙,舰长,1025,供血包,35
20,32957306,monky_kon,舰长,453,供血包,35
21,106797737,yameito,舰长,1255,供血包,34
22,650902976,星辰落缨,舰长,147,供血包,34
23,9174916,千与康居,舰长,117,供血包,34
24,3546393505433751,爱情是糖捏,舰长,986,供血包,34
25,123729248,天麟夜宇,舰长,535,供血包,34
26,591355861,小小空洞骑士,舰长,942,供血包,33
27,3546669796821037,何处梦清秋,舰长,699,供血包,32
28,11398089,一里Bocchi酱,舰长,331,供血包,31
29,1610659549,皮皮小八,舰长,150,供血包,31
30,1356196765,徐泽魈杨,舰长,297,供血包,30
31,347897700,水晶冥,舰长,151,供血包,30
32,528746345,k4ksaw,舰长,193,供血包,30
33,13342984,真装路过,舰长,50,供血包,30
34,3546980712188599,太阳又坠机了,舰长,148,供血包,29
35,234314275,半月秋风半月寒,舰长,172,供血包,29
36,1894165135,心累的阿天,舰长,18,供血包,28
37,1777382674,泠爱云,舰长,91,供血包,28
38,385307665,全世界唯一孤寡,舰长,101,供血包,28
39,39820524,牵丝喵neco,舰长,129,供血包,28
40,1394836081,_柒拾叁_,舰长,96,供血包,27
41,479213028,粉雾彼岸,舰长,71,供血包,27
42,511106780,璃悠冰馨雅,舰长,32,供血包,26
43,3493142441495255,maple_落江枫,舰长,35,供血包,25
44,620493,面包の炼奶,舰长,41,供血包,25
45,66689820,嵢漓,舰长,86,供血包,25
46,1942327076,晦明如暗,舰长,90,供血包,25
47,3546581875821346,蕗茜菲尔,舰长,91,供血包,24
48,3546374318590320,离雨去,舰长,19,供血包,23
49,284586935,繁花予辰砂,舰长,27,供血包,22
50,23661814,一江秋渡,舰长,25,供血包,22
51,67956160,该龙兄咯,舰长,31,供血包,22
52,124018,八神奈叶大和,舰长,31,供血包,22
53,3546569924151699,岩栖_-_,舰长,9,供血包,21
54,89653049,紫月-魅影,舰长,25,供血包,21
55,9971359,没有色彩的凡,舰长,22,供血包,21
56,1247911966,是星的呀_,舰长,8,供血包,21
