rank,uid,username,type,accompany,medal_name,medal_level
1,9174916,窈窕淑V灬皮神好逑,提督,14,供血包,32
2,5729200,畏光゛,舰长,1397,供血包,51
3,3493294526958393,萝宝宝の月月,舰长,920,供血包,46
4,11965818,膏青木马,舰长,800,供血包,43
5,9189063,缺德金毛,舰长,108,供血包,40
6,34157994,爱学习的萌新白面包,舰长,956,供血包,39
7,367346953,洛天启I黑星,舰长,1439,供血包,39
8,519274401,CL_LuckyE,舰长,818,供血包,39
9,79963241,cube_miku,舰长,297,供血包,39
10,677668473,萝哥の现亦,舰长,860,供血包,37
11,424384495,傲罗の假期,舰长,857,供血包,37
12,36132907,猫鳄霸,舰长,883,供血包,37
13,452182553,一条咸化鲨鱼,舰长,964,供血包,36
14,35505931,无是吾,舰长,1097,供血包,36
15,60461156,-我-永远喜欢爱莉希雅,舰长,513,供血包,36
16,11933095,靑鋆子,舰长,770,供血包,36
17,484156,欧卡尼亚,舰长,1414,供血包,35
18,437490940,养马糕手-,舰长,883,供血包,35
19,573508245,鸢桦aky,舰长,606,供血包,35
20,189598054,i珂i,舰长,912,供血包,35
21,509846987,枫浅沐熙,舰长,922,供血包,35
22,264489711,北极星夜,舰长,765,供血包,35
23,1512279910,我是路痴qwq,舰长,41,供血包,34
24,1695619600,阳气四射,舰长,731,供血包,34
25,32957306,monky_kon,舰长,350,供血包,34
26,650902976,星辰落缨,舰长,44,供血包,34
27,1789334557,浅川舍人,舰长,112,供血包,34
28,123729248,天麟夜宇,舰长,502,供血包,33
29,106797737,yameito,舰长,1152,供血包,33
30,3546393505433751,爱情是糖捏,舰长,883,供血包,33
31,2612212,鱼小年儿,舰长,214,供血包,33
32,591355861,小小空洞骑士,舰长,839,供血包,32
33,4738109,绯樱_-,舰长,778,供血包,32
34,363297560,乙坂奈绪,舰长,558,供血包,32
35,501191565,烧0白墨大王-愚人节,舰长,227,供血包,31
36,30683849,风凌碧落,舰长,505,供血包,31
37,15201741,炼金师的炼习作,舰长,124,供血包,31
38,3546669796821037,何处梦清秋,舰长,596,供血包,31
39,137309469,小N我的超人,舰长,162,供血包,31
40,352634648,登deng等瞪,舰长,22,供血包,31
41,2014470994,太阳将要毁伤-,舰长,85,供血包,30
42,1610659549,皮皮小八,舰长,77,供血包,30
43,528746345,k4ksaw,舰长,90,供血包,30
44,11398089,一里Bocchi酱,舰长,228,供血包,30
45,3493128373799849,想去em忘词了,舰长,158,供血包,30
46,52686530,奶茶配动漫,舰长,111,供血包,30
47,494671967,故寓诸无竟,舰长,147,供血包,30
48,33380498,SAT竹唤夏,舰长,121,供血包,29
49,3546678636317194,今日精神状态良好I,舰长,51,供血包,29
50,307465570,z花与时光同眠,舰长,78,供血包,28
51,475023191,懒_癌_晚_期,舰长,111,供血包,28
52,173903164,玄米抹茶-,舰长,108,供血包,28
53,347897700,水晶冥,舰长,48,供血包,28
54,1299403436,QyTitan,舰长,129,供血包,28
55,3706948945971456,白梓琳白梓琳,舰长,21,供血包,27
56,1440752106,春风共作狮子鸣-,舰长,111,供血包,27
57,3546980712188599,太阳又坠机了,舰长,47,供血包,27
58,3546645459372400,money_for,舰长,111,供血包,27
59,194161746,苍小郁TT,舰长,43,供血包,27
60,240421,ya溪溪桃花雨,舰长,10,供血包,26
61,233862617,咋也不知道叫啥名,舰长,8,供血包,26
62,669204946,墨水味橙汁,舰长,20,供血包,25
63,33056284,枯红山海棠,舰长,14,供血包,25
64,3546597715610130,原野三三w,舰长,9,供血包,25
65,3546958373325545,小小安鬼,舰长,17,供血包,24
66,2104665450,瓦尔让,舰长,31,供血包,24
67,3461582558333746,忘年忽念,舰长,41,供血包,24
68,278520474,凌沫雨幻,舰长,18,供血包,24
69,131738598,松鼠不吃海鲜,舰长,21,供血包,24
