rank,uid,username,type,accompany,medal_name,medal_level
1,9174916,窈窕淑V灬皮神好逑,提督,19,供血包,32
2,5729200,畏光゛,舰长,1402,供血包,51
3,3493294526958393,萝宝宝の月月,舰长,925,供血包,46
4,11965818,膏青木马,舰长,805,供血包,43
5,9189063,缺德金毛,舰长,113,供血包,40
6,34157994,爱学习的萌新白面包,舰长,961,供血包,39
7,367346953,洛天启I黑星,舰长,1444,供血包,39
8,519274401,CL_LuckyE,舰长,823,供血包,39
9,677668473,萝哥の现亦,舰长,865,供血包,37
10,424384495,傲罗の假期,舰长,862,供血包,37
11,36132907,猫鳄霸,舰长,888,供血包,37
12,452182553,一条咸化鲨鱼,舰长,969,供血包,36
13,35505931,无是吾,舰长,1102,供血包,36
14,60461156,-我-永远喜欢爱莉希雅,舰长,518,供血包,36
15,11933095,靑鋆子,舰长,775,供血包,36
16,484156,欧卡尼亚,舰长,1419,供血包,35
17,437490940,养马糕手-,舰长,888,供血包,35
18,573508245,鸢桦aky,舰长,611,供血包,35
19,189598054,i珂i,舰长,917,供血包,35
20,509846987,枫浅沐熙,舰长,927,供血包,35
21,264489711,北极星夜,舰长,770,供血包,35
22,1512279910,我是路痴qwq,舰长,46,供血包,34
23,13313146,御坂スティーブ,舰长,542,供血包,34
24,1695619600,阳气四射,舰长,736,供血包,34
25,32957306,monky_kon,舰长,355,供血包,34
26,650902976,星辰落缨,舰长,49,供血包,34
27,1789334557,浅川舍人,舰长,117,供血包,34
28,123729248,天麟夜宇,舰长,507,供血包,33
29,106797737,yameito,舰长,1157,供血包,33
30,3546393505433751,爱情是糖捏,舰长,888,供血包,33
31,2612212,鱼小年儿,舰长,219,供血包,33
32,591355861,小小空洞骑士,舰长,844,供血包,33
33,4738109,绯樱_-,舰长,783,供血包,32
34,363297560,乙坂奈绪,舰长,563,供血包,32
35,501191565,白墨猛的一批,舰长,232,供血包,31
36,3546669796821037,何处梦清秋,舰长,601,供血包,31
37,30683849,风凌碧落,舰长,510,供血包,31
38,15201741,炼金师的炼习作,舰长,129,供血包,31
39,137309469,小N我的超人,舰长,167,供血包,31
40,352634648,登deng等瞪,舰长,27,供血包,31
41,2014470994,太阳将要毁伤-,舰长,90,供血包,30
42,1610659549,皮皮小八,舰长,82,供血包,30
43,528746345,k4ksaw,舰长,95,供血包,30
44,11398089,一里Bocchi酱,舰长,233,供血包,30
45,3493128373799849,想去em忘词了,舰长,163,供血包,30
46,52686530,奶茶配动漫,舰长,116,供血包,30
47,33380498,SAT竹唤夏,舰长,126,供血包,29
48,3546678636317194,今日精神状态良好I,舰长,56,供血包,29
49,307465570,z花与时光同眠,舰长,83,供血包,28
50,475023191,懒_癌_晚_期,舰长,116,供血包,28
51,173903164,玄米抹茶-,舰长,113,供血包,28
52,347897700,水晶冥,舰长,53,供血包,28
53,1299403436,QyTitan,舰长,134,供血包,28
54,3706948945971456,白梓琳白梓琳,舰长,26,供血包,27
55,1440752106,春风共作狮子鸣-,舰长,116,供血包,27
56,3546980712188599,太阳又坠机了,舰长,52,供血包,27
57,3546645459372400,money_for,舰长,116,供血包,27
58,194161746,苍小郁TT,舰长,48,供血包,27
59,240421,ya溪溪桃花雨,舰长,15,供血包,26
60,233862617,咋也不知道叫啥名,舰长,13,供血包,26
61,669204946,墨水味橙汁,舰长,25,供血包,25
62,3461582558333746,忘年忽念,舰长,46,供血包,25
63,33056284,枯红山海棠,舰长,19,供血包,25
64,3546597715610130,原野三三w,舰长,14,供血包,25
65,3546958373325545,小小安鬼,舰长,22,供血包,24
66,278520474,凌沫雨幻,舰长,23,供血包,24
67,131738598,松鼠不吃海鲜,舰长,26,供血包,24
