rank,uid,username,type,accompany,medal_name,medal_level
1,5729200,畏光゛,舰长,1281,供血包,51
2,3493294526958393,萝宝宝の月月,舰长,804,供血包,46
3,11965818,风稍驻花半凋,舰长,684,供血包,43
4,249594967,久爱锦狸,舰长,1254,供血包,40
5,34157994,爱学习的萌新白面包,舰长,840,供血包,39
6,367346953,洛天启I黑星,舰长,1323,供血包,39
7,519274401,CL_LuckyE,舰长,702,供血包,37
8,677668473,萝哥の现亦,舰长,744,供血包,37
9,36132907,猫鳄霸,舰长,767,供血包,37
10,424384495,傲罗の假期,舰长,741,供血包,36
11,11933095,靑鋆子,舰长,654,供血包,35
12,79963241,cube_miku,舰长,187,供血包,35
13,452182553,一条咸化鲨鱼,舰长,848,供血包,35
14,484156,欧卡尼亚,舰长,1298,供血包,35
15,456839656,凌冬寒九,舰长,955,供血包,35
16,437490940,养马糕手-,舰长,767,供血包,35
17,509846987,枫浅沐熙,舰长,806,供血包,34
18,573508245,鸢桦aky,舰长,490,供血包,34
19,60461156,-我-永远喜欢爱莉希雅,舰长,401,供血包,34
20,189598054,i珂i,舰长,796,供血包,34
21,264489711,北极星夜,舰长,649,供血包,34
22,106797737,yameito,舰长,1036,供血包,33
23,363857729,玉咩咩碳,舰长,523,供血包,33
24,3546393505433751,爱情是糖捏,舰长,767,供血包,32
25,591355861,小小空洞骑士,舰长,723,供血包,32
26,4738109,绯樱_-,舰长,662,供血包,31
27,19006229,鄙人姓馋名猫,舰长,439,供血包,31
28,30683849,风凌碧落,舰长,389,供血包,30
29,3546669796821037,何处梦清秋,舰长,480,供血包,30
30,32957306,monky_kon,舰长,234,供血包,30
31,3494353326573754,砚烛,舰长,113,供血包,29
32,1326809254,序三数秋,舰长,164,供血包,28
33,3493128373799849,想去em忘词了,舰长,109,供血包,27
34,290696925,火力大喵出门就倒,舰长,3,供血包,27
35,494671967,故寓诸无竟,舰长,71,供血包,26
36,10777253,无忧李子,舰长,70,供血包,25
37,511799726,詹姆斯邦德丶,舰长,8,供血包,25
38,661723531,云修叶,舰长,9,供血包,24
39,3537116036335627,N1XEU,舰长,10,供血包,24
40,165704052,酔人_Q,舰长,40,供血包,23
41,138620787,是z先生呀,舰长,7,供血包,23
42,59223438,青呱哇哇叫,舰长,10,供血包,23
43,16431430,时雨绮罗_official,舰长,9,供血包,23
44,186932,喵子梨,舰长,7,供血包,22
45,303511494,浪费时间做美梦,舰长,19,供血包,22
46,31871007,平成偶像水野爱,舰长,8,供血包,22
47,107085300,幻环意志,舰长,11,供血包,22
48,412417519,落雨之息,舰长,28,供血包,22
49,33380498,SAT竹唤夏,舰长,5,供血包,22
50,15201741,炼金师的炼习作,舰长,8,供血包,22
51,604219493,神出鬼没的夜莲,舰长,9,供血包,22
52,329075691,-魂予-,舰长,9,供血包,22
53,472273245,゚极渊,舰长,10,供血包,21
54,30840134,冒菜只吃番茄锅,舰长,28,供血包,21
55,505405802,欧皇本皇舟,舰长,8,供血包,21
56,1872817,狗酱狗酱当偶像,舰长,10,供血包,21
57,11938201,魂莹千梦,舰长,5,供血包,21
58,516675060,小鳥游星野__,舰长,10,供血包,21
59,325674682,是逸凡吖,舰长,9,供血包,21
60,1460644,黄泉枉叹,舰长,9,供血包,21
61,3690972036729277,阿巴阿巴阿泽,舰长,9,供血包,21
