rank,uid,username,type,accompany,medal_name,medal_level
1,5729200,畏光゛,舰长,1534,供血包,51
2,3493294526958393,萝宝宝の月月,舰长,1057,供血包,46
3,11965818,转生成为超好用电击棒,舰长,937,供血包,43
4,9189063,缺德金毛,舰长,236,供血包,41
5,519274401,CL_LuckyE,舰长,955,供血包,40
6,34157994,爱学习的萌新白面包,舰长,1093,供血包,39
7,367346953,洛天启I黑星,舰长,1576,供血包,39
8,424384495,傲罗の假期,舰长,994,供血包,37
9,36132907,猫鳄霸,舰长,1020,供血包,37
10,60461156,-我-永远喜欢爱莉希雅,舰长,650,供血包,36
11,437490940,养马糕手-,舰长,1020,供血包,36
12,484156,欧卡尼亚,舰长,1549,供血包,36
13,573508245,鸢桦aky,舰长,735,供血包,36
14,456839656,凌冬寒九,舰长,1129,供血包,36
15,189598054,i珂i,舰长,1049,供血包,35
16,368890986,青柠绝配鱼香肉丝,舰长,155,供血包,35
17,264489711,北极星夜,舰长,902,供血包,35
18,509846987,枫浅沐熙,舰长,1059,供血包,35
19,32957306,monky_kon,舰长,487,供血包,35
20,1695619600,阳气四射,舰长,829,供血包,35
21,106797737,yameito,舰长,1289,供血包,34
22,650902976,星辰落缨,舰长,181,供血包,34
23,123729248,天麟夜宇,舰长,559,供血包,34
24,3546393505433751,爱情是糖捏,舰长,1020,供血包,34
25,9174916,困在时间里的皮神,舰长,151,供血包,34
26,363857729,玉咩咩碳,舰长,675,供血包,34
27,591355861,小小空洞骑士,舰长,976,供血包,33
28,9654880,黑脸猫JOJO,舰长,499,供血包,33
29,234314275,半月秋风半月寒,舰长,206,供血包,33
30,15201741,炼金师的炼习作,舰长,229,供血包,32
31,3546669796821037,何处梦清秋,舰长,733,供血包,32
32,11398089,一里Bocchi酱,舰长,365,供血包,31
33,347897700,水晶冥,舰长,185,供血包,31
34,1356196765,徐泽魈杨,舰长,319,供血包,31
35,528746345,k4ksaw,舰长,227,供血包,30
36,343836607,二零237,舰长,259,供血包,30
37,1894165135,心累的阿天,舰长,49,供血包,30
38,1326809254,序三数秋,舰长,297,供血包,30
39,1777382674,泠爱云,舰长,125,供血包,28
40,39820524,牵丝喵neco,舰长,163,供血包,28
41,511106780,璃悠冰馨雅,舰长,66,供血包,28
42,89653049,紫月-魅影,舰长,59,供血包,28
43,3493142441495255,maple_落江枫,舰长,0,供血包,27
44,620493,面包の炼奶,舰长,75,供血包,26
45,672586551,苏子新卍,舰长,15,供血包,26
46,1811650231,墨砌文香,舰长,109,供血包,26
47,327105404,木呆的猫小白,舰长,91,供血包,26
48,364881393,千里星辰,舰长,35,供血包,26
49,66689820,嵢漓,舰长,120,供血包,26
50,310597090,浅音早饭雅,舰长,49,供血包,25
51,673864554,香甜的花愈丶,舰长,49,供血包,24
52,77556374,北野喵,舰长,19,供血包,21
