rank,uid,username,type,accompany,medal_name,medal_level
1,5729200,畏光゛,舰长,1523,供血包,51
2,3493294526958393,萝宝宝の月月,舰长,1046,供血包,46
3,11965818,转生成为超好用电击棒,舰长,926,供血包,43
4,9189063,缺德金毛,舰长,225,供血包,41
5,519274401,CL_LuckyE,舰长,944,供血包,40
6,79963241,cube_miku,舰长,410,供血包,39
7,34157994,爱学习的萌新白面包,舰长,1082,供血包,39
8,367346953,洛天启I黑星,舰长,1565,供血包,39
9,424384495,傲罗の假期,舰长,983,供血包,37
10,36132907,猫鳄霸,舰长,1009,供血包,37
11,60461156,-我-永远喜欢爱莉希雅,舰长,639,供血包,36
12,437490940,养马糕手-,舰长,1009,供血包,36
13,484156,欧卡尼亚,舰长,1538,供血包,36
14,573508245,鸢桦aky,舰长,724,供血包,36
15,456839656,凌冬寒九,舰长,1118,供血包,36
16,189598054,i珂i,舰长,1038,供血包,35
17,368890986,青柠绝配鱼香肉丝,舰长,144,供血包,35
18,264489711,北极星夜,舰长,891,供血包,35
19,509846987,枫浅沐熙,舰长,1048,供血包,35
20,32957306,monky_kon,舰长,476,供血包,35
21,1695619600,阳气四射,舰长,818,供血包,35
22,106797737,yameito,舰长,1278,供血包,34
23,650902976,星辰落缨,舰长,170,供血包,34
24,123729248,天麟夜宇,舰长,548,供血包,34
25,3546393505433751,爱情是糖捏,舰长,1009,供血包,34
26,9174916,卿为日月灬朝朝暮暮,舰长,140,供血包,34
27,363857729,玉咩咩碳,舰长,664,供血包,34
28,591355861,小小空洞骑士,舰长,965,供血包,33
29,9654880,黑脸猫JOJO,舰长,488,供血包,33
30,234314275,半月秋风半月寒,舰长,195,供血包,33
31,15201741,炼金师的炼习作,舰长,218,供血包,32
32,3546669796821037,何处梦清秋,舰长,722,供血包,32
33,11398089,一里Bocchi酱,舰长,354,供血包,31
34,1356196765,徐泽魈杨,舰长,308,供血包,31
35,347897700,水晶冥,舰长,174,供血包,30
36,528746345,k4ksaw,舰长,216,供血包,30
37,343836607,二零237,舰长,248,供血包,30
38,1894165135,心累的阿天,舰长,38,供血包,30
39,1326809254,序三数秋,舰长,286,供血包,30
40,39820524,牵丝喵neco,舰长,152,供血包,28
41,511106780,璃悠冰馨雅,舰长,55,供血包,28
42,1777382674,泠爱云,舰长,114,供血包,28
43,89653049,紫月-魅影,舰长,48,供血包,28
44,1394836081,_柒拾叁_,舰长,119,供血包,27
45,3493142441495255,maple_落江枫,舰长,58,供血包,27
46,1811650231,墨砌文香,舰长,98,供血包,26
47,620493,面包の炼奶,舰长,64,供血包,26
48,327105404,木呆的猫小白,舰长,80,供血包,26
49,66689820,嵢漓,舰长,109,供血包,26
50,364881393,千里星辰,舰长,24,供血包,25
51,310597090,浅音早饭雅,舰长,38,供血包,25
52,693011621,熟悉又陌生的,舰长,24,供血包,24
53,673864554,香甜的花愈丶,舰长,38,供血包,24
54,672586551,苏子新卍,舰长,4,供血包,22
55,77556374,北野喵,舰长,8,供血包,21
56,1247911966,是星的呀_,舰长,31,供血包,21
