rank,uid,username,type,accompany,medal_name,medal_level
1,60461156,-我-永远喜欢爱莉希雅,提督,475,供血包,35
2,5729200,畏光゛,舰长,1355,供血包,51
3,3493294526958393,萝宝宝の月月,舰长,878,供血包,46
4,11965818,膏青五马,舰长,758,供血包,43
5,249594967,久爱锦狸Kaorou,舰长,1328,供血包,40
6,34157994,爱学习的萌新白面包,舰长,914,供血包,39
7,367346953,洛天启I黑星,舰长,1397,供血包,39
8,519274401,CL_LuckyE,舰长,776,供血包,38
9,79963241,cube_miku,舰长,261,供血包,38
10,9189063,缺德金毛,舰长,66,供血包,37
11,677668473,萝哥の现亦,舰长,818,供血包,37
12,424384495,面包の假期,舰长,815,供血包,37
13,36132907,猫鳄霸,舰长,841,供血包,37
14,452182553,一条咸化鲨鱼,舰长,922,供血包,36
15,35505931,无是吾,舰长,1055,供血包,36
16,11933095,靑鋆子,舰长,728,供血包,36
17,484156,欧卡尼亚,舰长,1372,供血包,35
18,456839656,凌冬寒九,舰长,1026,供血包,35
19,437490940,养马糕手-,舰长,841,供血包,35
20,573508245,鸢桦aky,舰长,564,供血包,35
21,368890986,青柠绝配鱼香肉丝,舰长,72,供血包,35
22,189598054,i珂i,舰长,870,供血包,35
23,509846987,枫浅沐熙,舰长,880,供血包,35
24,264489711,北极星夜,舰长,723,供血包,34
25,13313146,御坂スティーブ,舰长,502,供血包,34
26,32957306,monky_kon,舰长,308,供血包,34
27,1695619600,阳气四射,舰长,695,供血包,34
28,363857729,玉咩咩碳,舰长,576,供血包,33
29,123729248,天麟夜宇,舰长,460,供血包,33
30,106797737,yameito,舰长,1110,供血包,33
31,3546393505433751,爱情是糖捏,舰长,841,供血包,33
32,591355861,小小空洞骑士,舰长,797,供血包,32
33,3546598770477604,不知眠深,舰长,128,供血包,32
34,363297560,乙坂奈绪,舰长,516,供血包,32
35,4738109,绯樱_-,舰长,736,供血包,32
36,30683849,风凌碧落,舰长,463,供血包,31
37,3546669796821037,何处梦清秋,舰长,554,供血包,30
38,44749665,吾愿ya,舰长,65,供血包,30
39,501191565,可甜可盐的白墨,舰长,186,供血包,29
40,2014470994,太阳将要毁伤-,舰长,43,供血包,29
41,52686530,奶茶配动漫,舰长,69,供血包,29
42,3546715697187565,龙之梦迷,舰长,216,供血包,29
43,528746345,k4ksaw,舰长,48,供血包,29
44,3546695979764083,里世界观测者,舰长,61,供血包,29
45,290696925,火力大喵出门就倒,舰长,63,供血包,29
46,15201741,炼金师的炼习作,舰长,82,供血包,28
47,1326809254,序三数秋,舰长,238,供血包,28
48,11398089,一里Bocchi酱,舰长,186,供血包,28
49,693398201,傲娇控蒸鹅心,舰长,39,供血包,28
50,33380498,SAT竹唤夏,舰长,79,供血包,28
51,475023191,懒_癌_晚_期,舰长,69,供血包,28
52,343836607,二零237,舰长,156,供血包,28
53,494671967,故寓诸无竟,舰长,111,供血包,28
54,307465570,z花与时光同眠,舰长,36,供血包,28
55,1610659549,皮皮小八,舰长,35,供血包,28
56,3461576619199229,绪山洛,舰长,27,供血包,27
57,138620787,是z先生呀,舰长,81,供血包,27
58,255217452,我不是离散,舰长,69,供血包,27
59,16906383,美九真爱,舰长,108,供血包,26
60,233645397,蘇軒然,舰长,123,供血包,26
61,1789334557,浅川舍人,舰长,70,供血包,26
62,59223438,青呱哇哇叫,舰长,84,供血包,26
63,173903164,-久世_,舰长,69,供血包,25
64,3546827271965048,凡宫_,舰长,83,供血包,25
65,2076599517,想喝血包,舰长,2,供血包,25
66,12364173,十六夜H咲夜,舰长,70,供血包,25
67,3546815343364852,羽梦泽Tokaie,舰长,66,供血包,25
68,492898392,野生常长老,舰长,4,供血包,25
69,1980623710,都兜斗豆逗窦吺梪钭,舰长,24,供血包,25
70,522664126,下饭大队长1,舰长,6,供血包,25
71,1440752106,春风共作狮子鸣-,舰长,69,供血包,25
72,3546678636317194,今日精神状态良好I,舰长,9,供血包,25
73,325674682,我有一米六16,舰长,83,供血包,25
74,3546645459372400,money_for,舰长,69,供血包,24
75,2057587572,家妻三玖卡哇伊,舰长,10,供血包,24
76,3546980712188599,太阳又坠机了,舰长,6,供血包,24
77,1811650231,墨砌文香,舰长,33,供血包,24
78,650902976,星辰落缨,舰长,2,供血包,22
79,347897700,水晶冥,舰长,6,供血包,22
80,1905868340,锇_钚_钳_锌,舰长,6,供血包,22
81,471266480,Zx芝,舰长,3,供血包,22
82,3546838007286318,_愛している,舰长,2,供血包,22
83,1445217727,露日烤箱,舰长,6,供血包,21
84,1013154799,倚桥觅烟雨,舰长,6,供血包,21
85,3546836746898023,Minecraft苏联麦块君,舰长,17,供血包,21
86,353136823,云收夏意,舰长,19,供血包,21
87,39911280,铭月语,舰长,2,供血包,21
88,344595049,远方旅者,舰长,6,供血包,21
89,1261100943,_一次就好_,舰长,25,供血包,21
90,409778757,云愈深,舰长,28,供血包,21
91,1018043473,74687464,舰长,6,供血包,21
92,3691002881641209,发现腿饭吃,舰长,3,供血包,21
93,400991228,好多号的,舰长,19,供血包,21
