rank,uid,username,type,accompany,medal_name,medal_level
1,5729200,畏光゛,舰长,1551,供血包,51
2,3493294526958393,萝宝宝の月月,舰长,1074,供血包,46
3,11965818,转生成为超anti面包片,舰长,954,供血包,43
4,9189063,缺德金毛,舰长,253,供血包,42
5,519274401,CL_LuckyE,舰长,972,供血包,40
6,34157994,爱学习的萌新白面包,舰长,1110,供血包,39
7,367346953,洛天启I黑星,舰长,1593,供血包,39
8,424384495,傲罗の假期,舰长,1011,供血包,37
9,36132907,猫鳄霸,舰长,1037,供血包,37
10,60461156,-我-永远喜欢爱莉希雅,舰长,667,供血包,37
11,437490940,养马糕手-,舰长,1037,供血包,36
12,484156,欧卡尼亚,舰长,1566,供血包,36
13,573508245,鸢桦aky,舰长,752,供血包,36
14,189598054,i珂i,舰长,1066,供血包,35
15,368890986,青柠绝配鱼香肉丝,舰长,172,供血包,35
16,264489711,北极星夜,舰长,919,供血包,35
17,509846987,枫浅沐熙,舰长,1076,供血包,35
18,32957306,monky_kon,舰长,504,供血包,35
19,106797737,yameito,舰长,1306,供血包,34
20,123729248,天麟夜宇,舰长,576,供血包,34
21,3546393505433751,爱情是糖捏,舰长,1037,供血包,34
22,650902976,星辰落缨,舰长,198,供血包,34
23,234314275,半月秋风半月寒,舰长,223,供血包,33
24,3546669796821037,何处梦清秋,舰长,750,供血包,32
25,11398089,一里Bocchi酱,舰长,382,供血包,32
26,347897700,水晶冥,舰长,202,供血包,31
27,528746345,k4ksaw,舰长,244,供血包,30
28,307465570,z花与时光同眠,舰长,108,供血包,30
29,1777382674,泠爱云,舰长,142,供血包,29
30,3493142441495255,maple_落江枫,舰长,86,供血包,28
31,511106780,璃悠冰馨雅,舰长,83,供血包,28
32,39820524,牵丝喵neco,舰长,180,供血包,28
33,620493,面包の炼奶,舰长,0,供血包,28
34,672586551,苏子新卍,舰长,32,供血包,28
35,364881393,千里星辰,舰长,52,供血包,26
36,327105404,木呆的猫小白,舰长,108,供血包,26
37,294175613,晚安娅娅,舰长,11,供血包,24
38,402027182,和泉若林,舰长,5,供血包,24
39,1403080877,荔枝_pileot,舰长,11,供血包,24
40,46876,小布,舰长,10,供血包,23
41,107442026,--shuo--,舰长,13,供血包,23
