rank,uid,username,type,accompany,medal_name,medal_level
1,5729200,畏光゛,舰长,1559,供血包,51
2,3493294526958393,萝宝宝の月月,舰长,1082,供血包,46
3,11965818,转生成为超anti面包片,舰长,962,供血包,43
4,9189063,缺德金毛,舰长,261,供血包,42
5,519274401,CL_LuckyE,舰长,980,供血包,40
6,34157994,爱学习的萌新白面包,舰长,1118,供血包,39
7,367346953,洛天启I黑星,舰长,1601,供血包,39
8,424384495,傲罗の假期,舰长,1019,供血包,37
9,36132907,猫鳄霸,舰长,1045,供血包,37
10,60461156,-我-永远喜欢爱莉希雅,舰长,675,供血包,37
11,437490940,养马糕手-,舰长,1045,供血包,37
12,484156,欧卡尼亚,舰长,1574,供血包,36
13,573508245,鸢桦aky,舰长,760,供血包,36
14,189598054,i珂i,舰长,1074,供血包,35
15,368890986,青柠绝配鱼香肉丝,舰长,180,供血包,35
16,264489711,北极星夜,舰长,927,供血包,35
17,32957306,monky_kon,舰长,512,供血包,35
18,509846987,枫浅沐熙,舰长,1084,供血包,35
19,106797737,yameito,舰长,1314,供血包,34
20,123729248,天麟夜宇,舰长,584,供血包,34
21,3546393505433751,爱情是糖捏,舰长,1045,供血包,34
22,650902976,星辰落缨,舰长,206,供血包,34
23,3546669796821037,何处梦清秋,舰长,758,供血包,32
24,347897700,水晶冥,舰长,210,供血包,32
25,11398089,一里Bocchi酱,舰长,390,供血包,32
26,528746345,k4ksaw,舰长,252,供血包,31
27,3493142441495255,maple_落江枫,舰长,94,供血包,30
28,307465570,z花与时光同眠,舰长,116,供血包,30
29,1777382674,泠爱云,舰长,150,供血包,29
30,511106780,璃悠冰馨雅-奶桃99版,舰长,91,供血包,29
31,672586551,苏子新卍,舰长,40,供血包,28
32,620493,面包の炼奶,舰长,100,供血包,28
33,107442026,菲林的gachi--shuo--,舰长,21,供血包,27
34,364881393,千里星辰,舰长,60,供血包,26
35,327105404,木呆的猫小白,舰长,116,供血包,26
36,294175613,晚安娅娅,舰长,19,供血包,24
37,46876,小布,舰长,18,供血包,24
38,402027182,和泉若林,舰长,13,供血包,24
39,1403080877,荔枝_pileot,舰长,19,供血包,24
40,442552078,吃猫的橘鱼,舰长,1,供血包,22
